ID,Node,Source,Target,Weight,Relationship,Assistance,Total,SIC,jobs,Sector,address,X,Y,CycleY
2225,Antrim and Newtownabbey,Northern Ireland,Antrim and Newtownabbey,"1,000",Northern Ireland-->Antrim and Newtownabbey,"1,000","9,000",96090,1,Other Service Activities,,0.7660444378852844,0.6427875757217407,0.6427875757217407
2226,Northern Ireland,Northern Ireland,Belfast,"4,805",Northern Ireland-->Belfast,"4,805","9,610",70229,0,"Professional, Scientific And Technical Activities",BT6 0DH,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2226,Belfast,Northern Ireland,Belfast,"4,805",Northern Ireland-->Belfast,"4,805","9,610",70229,0,"Professional, Scientific And Technical Activities",BT6 0DH,0.8936326503753662,0.448799192905426,0.448799192905426
2227,Northern Ireland,Northern Ireland,Belfast,"4,200",Northern Ireland-->Belfast,"4,200","8,400",62020,0,Information And Communication,BT1 2LD,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2227,Belfast,Northern Ireland,Belfast,"4,200",Northern Ireland-->Belfast,"4,200","8,400",62020,0,Information And Communication,BT1 2LD,0.8936326503753662,0.448799192905426,0.448799192905426
2228,Northern Ireland,Northern Ireland,Mid Ulster,625,Northern Ireland-->Mid Ulster,625,"1,250",20530,0,Manufacturing,BT70 1RX,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2228,Mid Ulster,Northern Ireland,Mid Ulster,625,Northern Ireland-->Mid Ulster,625,"1,250",20530,0,Manufacturing,BT70 1RX,0.9730448722839355,0.23061588406562805,0.23061588406562805
2229,Northern Ireland,Northern Ireland,Fermanagh and Omagh,"10,642",Northern Ireland-->Fermanagh and Omagh,"10,642","34,751",74901,0,"Professional, Scientific And Technical Activities",BT79 0BE,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2229,Fermanagh and Omagh,Northern Ireland,Fermanagh and Omagh,"10,642",Northern Ireland-->Fermanagh and Omagh,"10,642","34,751",74901,0,"Professional, Scientific And Technical Activities",BT79 0BE,-0.05814483389258385,0.9983081817626953,0.9983081817626953
2230,Northern Ireland,Northern Ireland,"Newry, Mourne and Down","47,880","Northern Ireland-->Newry, Mourne and Down","47,880","294,400",43999,14,Construction,BT34 3PN,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2230,"Newry, Mourne and Down",Northern Ireland,"Newry, Mourne and Down","47,880","Northern Ireland-->Newry, Mourne and Down","47,880","294,400",43999,14,Construction,BT34 3PN,-0.6862416863441467,0.7273736000061035,0.7273736000061035
2231,Northern Ireland,Northern Ireland,Mid Ulster,"17,573",Northern Ireland-->Mid Ulster,"17,573","50,210",28920,1,Manufacturing,BT76 0DZ,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2231,Mid Ulster,Northern Ireland,Mid Ulster,"17,573",Northern Ireland-->Mid Ulster,"17,573","50,210",28920,1,Manufacturing,BT76 0DZ,0.9730448722839355,0.23061588406562805,0.23061588406562805
2232,Northern Ireland,Northern Ireland,Belfast,"1,488",Northern Ireland-->Belfast,"1,488","2,975",82990,0,Administrative And Support Service Activities,BT17 0QL,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2232,Belfast,Northern Ireland,Belfast,"1,488",Northern Ireland-->Belfast,"1,488","2,975",82990,0,Administrative And Support Service Activities,BT17 0QL,0.8936326503753662,0.448799192905426,0.448799192905426
