Source,Target,Weight,total,NoJobs,SIC,SICsector,Postcode
Northern Ireland,Ards and North Down,"43,625","174,500",4,10840,Manufacturing,BT23 4YH
Northern Ireland,Belfast,"4,085","10,576",0,82990,Administrative And Support Service Activities,BT3 9LE
Northern Ireland,Mid Ulster,"110,602","442,409",0,28920,Manufacturing,BT71 6LA
Northern Ireland,Mid Ulster,"35,000","188,000",5,46330,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT70 3AB
Northern Ireland,Mid and East Antrim,"135,000","816,000",15,26511,Manufacturing,BT38 8YF
Northern Ireland,"Armagh City, Banbridge and Craigavon","42,770","95,045",0,30990,Manufacturing,BT61 8BL
Northern Ireland,Derry City and Strabane,"44,122","63,329",0,10200,Manufacturing,BT48 8JW
Northern Ireland,Belfast,"31,034","51,724",0,10200,Manufacturing,BT17 0QL
Northern Ireland,Causeway Coast and Glens,"25,000","67,739",0,29202,Manufacturing,BT46 5QZ
Northern Ireland,Belfast,"1,000","9,000",1,82990,Administrative And Support Service Activities,BT5 4JE
United States,Mid Ulster,"184,950","8,107,000",0,28132,Manufacturing,BT80 9DG
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,82990,Administrative And Support Service Activities,
Northern Ireland,"Armagh City, Banbridge and Craigavon","30,436","50,726",0,62020,Information And Communication,BT32 5QZ
Northern Ireland,Belfast,"134,008","416,575",0,62020,Information And Communication,BT3 9DT
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96020,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,500","10,000",1,33190,Manufacturing,
Northern Ireland,Mid Ulster,"1,500","10,000",1,96020,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,47910,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,
Northern Ireland,"Armagh City, Banbridge and Craigavon","25,000","148,470",5,31020,Manufacturing,BT67 9JT
Northern Ireland,Antrim and Newtownabbey,"13,586","38,817",0,23630,Manufacturing,BT37 0UZ
Japan,Antrim and Newtownabbey,"150,000","1,200,000",0,22290,Manufacturing,BT36 4PR
Northern Ireland,Mid and East Antrim,"11,125","22,250",0,82990,Administrative And Support Service Activities,BT43 7QA
Northern Ireland,Belfast,"1,000","9,000",1,85530,Education,
Northern Ireland,Derry City and Strabane,"47,064","147,075",0,28920,Manufacturing,BT79 8EQ
Brazil,"Armagh City, Banbridge and Craigavon","10,241","17,657",0,10120,Manufacturing,BT63 5QE
Northern Ireland,Ards and North Down,"33,000","289,984",11,82200,Administrative And Support Service Activities,BT18 9BU
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,507,564","2,512,606",0,72190,"Professional, Scientific And Technical Activities",BT63 5QD
Northern Ireland,Lisburn and Castlereagh,"5,983","22,877",0,25730,Manufacturing,BT23 6BL
Northern Ireland,Causeway Coast and Glens,"5,000","12,500",0,10200,Manufacturing,BT54 6RT
Northern Ireland,Belfast,0,0,0,11010,Manufacturing,BT22 1AJ
Northern Ireland,Mid Ulster,"37,305","84,901",0,28220,Manufacturing,BT70 1LA
Northern Ireland,Derry City and Strabane,"2,126","8,220",0,25610,Manufacturing,BT47 3XX
Northern Ireland,Lisburn and Castlereagh,"47,627","141,078",0,25990,Manufacturing,BT27 5QB
Northern Ireland,Fermanagh and Omagh,"32,620","54,367",0,21200,Manufacturing,BT79 0EU
Northern Ireland,Causeway Coast and Glens,"39,306","68,450",0,61900,Information And Communication,BT55 7AE
Northern Ireland,Mid Ulster,"40,635","92,100",0,62012,Information And Communication,BT46 5LN
Northern Ireland,Belfast,"447,170","596,227",0,96090,Other Service Activities,BT3 9DZ
Northern Ireland,Mid Ulster,"68,739","236,630",0,31020,Manufacturing,BT41 3UF
Northern Ireland,Mid and East Antrim,"17,440","43,600",0,25110,Manufacturing,BT42 3DB
Northern Ireland,Belfast,"44,693","264,578",0,71129,"Professional, Scientific And Technical Activities",BT2 7BE
Northern Ireland,"Armagh City, Banbridge and Craigavon","4,000","10,000",0,10890,Manufacturing,BT66 8BY
Northern Ireland,Lisburn and Castlereagh,"33,208","83,020",0,28220,Manufacturing,BT28 2EU
Northern Ireland,Belfast,"49,751","93,870",0,62012,Information And Communication,BT3 9LE
Northern Ireland,Mid Ulster,"17,160","42,900",0,46330,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT70 3AB
Northern Ireland,Belfast,"4,355","12,442",0,62012,Information And Communication,BT14 8AD
Northern Ireland,Ards and North Down,"1,500","10,000",1,82990,Administrative And Support Service Activities,
Northern Ireland,Mid and East Antrim,"31,129","88,940",3,28220,Manufacturing,BT38 8GX
Northern Ireland,Belfast,"19,392","128,480",4,46180,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT7 1DT
Northern Ireland,Derry City and Strabane,"35,000","188,000",5,63110,Information And Communication,BT48 7AB
Northern Ireland,Belfast,"14,000","92,000",2,63990,Information And Communication,BT6 8DN
Northern Ireland,Mid Ulster,"1,500","10,000",1,41200,Construction,
Northern Ireland,Fermanagh and Omagh,"1,500","10,000",1,14120,Manufacturing,
