Source,Target,Weight,total,NoJobs,SIC,SICsector,Postcode
Northern Ireland,Mid Ulster,"5,000","10,000",0,28220,Manufacturing,BT71 6LA
Northern Ireland,Lisburn and Castlereagh,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Lisburn and Castlereagh,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"22,500","75,000",1,28920,Manufacturing,BT71 7EF
Northern Ireland,Belfast,"1,000","27,000",3,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"5,965","14,913",0,28920,Manufacturing,BT79 9HW
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"5,000","14,760",0,62010,Information And Communication,BT5 7HF
Northern Ireland,Fermanagh and Omagh,"1,280","2,560",0,31020,Manufacturing,BT79 0NB
Northern Ireland,Derry City and Strabane,"34,206","55,138",0,62020,Information And Communication,BT48 7JL
Northern Ireland,"Armagh City, Banbridge and Craigavon","8,026","23,360",0,28930,Manufacturing,BT63 5QE
Northern Ireland,Antrim and Newtownabbey,"5,000","12,480",0,24100,Manufacturing,BT39 0SX
Northern Ireland,Mid Ulster,"1,960","3,920",0,10390,Manufacturing,BT71 7EF
Northern Ireland,Mid Ulster,"3,400","6,800",0,82990,Administrative And Support Service Activities,BT69 6HZ
Northern Ireland,Causeway Coast and Glens,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"1,500","10,000",1,93199,"Arts, Entertainment And Recreation",
Northern Ireland,Antrim and Newtownabbey,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Antrim and Newtownabbey,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Antrim and Newtownabbey,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"20,370","48,500",0,55100,Accommodation And Food Service Activities,BT1 2DZ
Northern Ireland,Ards and North Down,"71,520","187,070",2,10611,Manufacturing,BT22 1JR
Northern Ireland,"Newry, Mourne and Down","1,500","10,000",1,82990,Administrative And Support Service Activities,
Northern Ireland,Antrim and Newtownabbey,"17,047","34,094",0,21200,Manufacturing,BT39 9AU
Northern Ireland,"Newry, Mourne and Down","9,730","28,768",0,43220,Construction,BT31 9HH
Northern Ireland,Lisburn and Castlereagh,"1,500","10,000",1,90040,"Arts, Entertainment And Recreation",
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"15,200","38,000",1,30110,Manufacturing,BT3 9ED
Northern Ireland,Belfast,"1,000","18,000",2,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,000","9,000",1,62012,Information And Communication,BT35 8UJ
Northern Ireland,Fermanagh and Omagh,303,605,0,81229,Administrative And Support Service Activities,BT94 3NB
Northern Ireland,Ards and North Down,"38,500","277,000",8,27120,Manufacturing,BT23 4AU
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","32,500","65,000",2,71129,"Professional, Scientific And Technical Activities",BT28 2SU
Northern Ireland,Mid and East Antrim,"1,888","4,920",0,70229,"Professional, Scientific And Technical Activities",BT40 2SF
Northern Ireland,Mid Ulster,"12,345","24,960",0,23610,Manufacturing,BT45 5QF
Northern Ireland,Lisburn and Castlereagh,"9,255","18,510",0,25730,Manufacturing,BT23 6BL
Northern Ireland,Fermanagh and Omagh,"19,160","55,400",1,62030,Information And Communication,BT78 5EJ
Northern Ireland,Ards and North Down,"23,080","57,700",2,80200,Administrative And Support Service Activities,BT3 9HB
Northern Ireland,Belfast,"24,000","136,000",4,46690,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT2 8LA
Northern Ireland,Lisburn and Castlereagh,"17,250","44,986",1,31010,Manufacturing,BT23 6AY
Northern Ireland,Fermanagh and Omagh,"13,975","47,850",0,43390,Construction,BT74 6HR
Northern Ireland,Belfast,"46,890","93,780",0,62010,Information And Communication,BT12 4HB
Northern Ireland,Antrim and Newtownabbey,"160,000","1,600,000",6,17219,Manufacturing,BT36 7LR
Northern Ireland,Mid Ulster,"20,178","57,651",0,28302,Manufacturing,BT70 2PN
Northern Ireland,"Armagh City, Banbridge and Craigavon","11,250","26,000",0,28220,Manufacturing,BT67 9JD
Northern Ireland,Belfast,"3,819","11,737",0,10831,Manufacturing,BT13 2JF
Northern Ireland,Causeway Coast and Glens,"4,975","10,670",0,47990,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT49 0PU
Northern Ireland,"Armagh City, Banbridge and Craigavon","10,000","66,200",2,90010,"Arts, Entertainment And Recreation",BT62 3NX
Northern Ireland,Derry City and Strabane,"3,961","12,315",0,55100,Accommodation And Food Service Activities,BT47 3QP
Northern Ireland,Lisburn and Castlereagh,"21,816","36,360",0,30110,Manufacturing,BT23 5QU
Northern Ireland,Belfast,"3,927","16,413",0,62012,Information And Communication,BT2 8FF
Northern Ireland,Causeway Coast and Glens,"45,000","246,000",9,16220,Manufacturing,BT47 4QH
Northern Ireland,"Armagh City, Banbridge and Craigavon","23,305","46,610",0,28210,Manufacturing,BT66 7PW
Northern Ireland,"Armagh City, Banbridge and Craigavon","3,572","8,706",0,25110,Manufacturing,BT25 1DL
Northern Ireland,"Armagh City, Banbridge and Craigavon","15,410","49,867",0,11070,Manufacturing,BT66 6EY
Northern Ireland,Causeway Coast and Glens,"2,625","13,478",0,70221,"Professional, Scientific And Technical Activities",BT52 2NR
Northern Ireland,Lisburn and Castlereagh,"18,262","50,140",0,74100,"Professional, Scientific And Technical Activities",BT28 2RB
Northern Ireland,Belfast,"4,275","11,615",0,69109,"Professional, Scientific And Technical Activities",BT1 6PJ
Northern Ireland,"Newry, Mourne and Down","33,417","111,390",0,71129,"Professional, Scientific And Technical Activities",BT28 2SU
Northern Ireland,Fermanagh and Omagh,"1,757","5,097",0,96090,Other Service Activities,BT79 9AL
Northern Ireland,Belfast,"25,000","103,776",0,71111,"Professional, Scientific And Technical Activities",BT3 9JQ
Northern Ireland,"Armagh City, Banbridge and Craigavon","14,700","30,000",0,25110,Manufacturing,BT25 1DL
Northern Ireland,Ards and North Down,"14,112","28,800",0,25990,Manufacturing,BT3 9DT
Northern Ireland,Lisburn and Castlereagh,"35,864","111,000",1,43340,Construction,BT28 2SA
Northern Ireland,Belfast,"1,500","3,000",0,43210,Construction,BT3 9HB
Northern Ireland,Belfast,"32,049","106,830",0,89300,Mining And Quarrying,BT3 9AL
Northern Ireland,Belfast,"41,790","83,580",2,59113,Information And Communication,BT12 5GH
Northern Ireland,"Newry, Mourne and Down","14,000","69,000",2,71129,"Professional, Scientific And Technical Activities",BT34 3NQ
Northern Ireland,"Armagh City, Banbridge and Craigavon","7,000","32,000",1,25110,Manufacturing,BT63 6BU
Northern Ireland,"Armagh City, Banbridge and Craigavon","2,400","9,000",0,23700,Manufacturing,BT61 7NP
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Ards and North Down,"19,634","49,690",0,22210,Manufacturing,BT19 7QY
Northern Ireland,"Armagh City, Banbridge and Craigavon","160,000","1,318,800",40,10130,Manufacturing,BT66 7AT
Northern Ireland,Belfast,"5,000","10,000",0,25990,Manufacturing,BT3 9DT
Northern Ireland,Ards and North Down,"23,378","58,445",1,71129,"Professional, Scientific And Technical Activities",BT18 9LU
Northern Ireland,Causeway Coast and Glens,"2,480","4,960",0,20420,Manufacturing,BT54 6BN
Northern Ireland,Mid Ulster,"5,000","10,800",0,29202,Manufacturing,BT70 3BG
Northern Ireland,Lisburn and Castlereagh,"4,800","9,600",0,32500,Manufacturing,BT28 2BP
Northern Ireland,Mid and East Antrim,"4,000","10,000",0,10890,Manufacturing,BT42 4LE
Northern Ireland,Lisburn and Castlereagh,"45,325","132,500",1,22230,Manufacturing,BT8 8AN
Northern Ireland,Derry City and Strabane,"30,916","147,740",2,58190,Information And Communication,BT48 6PU
Northern Ireland,Derry City and Strabane,"49,000","238,000",7,58190,Information And Communication,BT48 6PU
Northern Ireland,Derry City and Strabane,"32,600","163,000",2,35120,"Electricity, Gas, Steam And Air Conditioning Supply",BT48 0LY
Northern Ireland,Mid and East Antrim,630,"1,260",0,32990,Manufacturing,BT42 3LY
Northern Ireland,Causeway Coast and Glens,"42,000","190,700",6,25110,Manufacturing,BT51 4HA
Northern Ireland,Fermanagh and Omagh,"9,750","28,750",0,86230,Human Health And Social Work Activities,BT94 1GR
Northern Ireland,Fermanagh and Omagh,"4,390","8,780",0,55209,Accommodation And Food Service Activities,BT94 5HG
Northern Ireland,Lisburn and Castlereagh,"43,527","96,727",0,62090,Information And Communication,
Northern Ireland,"Armagh City, Banbridge and Craigavon","4,000","45,834",2,88990,Human Health And Social Work Activities,BT66 6DB
Northern Ireland,"Newry, Mourne and Down","1,500","3,000",0,32300,Manufacturing,BT24 8RH
Northern Ireland,Belfast,"17,574","67,210",0,70229,"Professional, Scientific And Technical Activities",BT1 4PD
Northern Ireland,Fermanagh and Omagh,"38,000","280,000",2,32990,Manufacturing,BT79 0ND
Northern Ireland,Causeway Coast and Glens,"4,754","9,507",0,32990,Manufacturing,
Northern Ireland,Belfast,"34,000","200,000",2,63990,Information And Communication,BT2 8DN
Northern Ireland,Mid Ulster,"4,898","9,796",0,32990,Manufacturing,BT45 8BZ
Northern Ireland,Lisburn and Castlereagh,"13,055","49,002",0,77110,Administrative And Support Service Activities,BT17 9HY
Northern Ireland,Belfast,"22,195","64,259",0,10830,Manufacturing,BT9 7ET
Northern Ireland,Belfast,"4,050","8,100",0,62020,Information And Communication,BT7 3FR
Northern Ireland,Ards and North Down,"2,698","5,395",0,62020,Information And Communication,BT3 9DT
Northern Ireland,Belfast,"3,560","7,120",0,46690,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT2 8LA
Northern Ireland,Belfast,"81,000","883,000",9,62020,Information And Communication,BT9 6AG
Northern Ireland,Fermanagh and Omagh,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,615","3,230",0,71121,"Professional, Scientific And Technical Activities",BT34 5YN
Northern Ireland,Belfast,"17,662","44,155",10,10890,Manufacturing,BT17 0QL
Northern Ireland,"Armagh City, Banbridge and Craigavon","3,800","7,600",0,25110,Manufacturing,BT71 7ED
Northern Ireland,Mid and East Antrim,"63,855","183,175",0,82990,Administrative And Support Service Activities,BT43 7QA
Northern Ireland,Belfast,"12,429","24,858",0,38320,"Water Supply; Sewerage, Waste Management And Remediation Activities",BT11 9QX
Northern Ireland,Belfast,"15,000","96,000",3,20590,Manufacturing,BT3 9DT
Northern Ireland,"Newry, Mourne and Down","4,000","10,000",0,71129,"Professional, Scientific And Technical Activities",BT35 6JQ
Northern Ireland,Mid Ulster,640,"1,280",0,20530,Manufacturing,BT70 1RX
Northern Ireland,Lisburn and Castlereagh,"6,435","15,020",0,82990,Administrative And Support Service Activities,BT27 5JW
Sweden,Mid Ulster,"11,000","44,000",0,28923,Manufacturing,BT70 2HW
Northern Ireland,"Armagh City, Banbridge and Craigavon",536,"1,072",0,17220,Manufacturing,BT66 7SD
Northern Ireland,Antrim and Newtownabbey,"5,224","15,060",0,70229,"Professional, Scientific And Technical Activities",BT41 3BB
Northern Ireland,Lisburn and Castlereagh,500,"1,000",0,62020,Information And Communication,BT28 2DL
Northern Ireland,Belfast,"1,850","3,700",0,47990,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT12 5JL
Northern Ireland,Mid Ulster,"4,700","9,719",0,71129,"Professional, Scientific And Technical Activities",
Northern Ireland,Ards and North Down,"14,400","54,720",0,82990,Administrative And Support Service Activities,BT20 4LE
Northern Ireland,Antrim and Newtownabbey,"10,000","56,000",2,31020,Manufacturing,BT41 2RZ
Northern Ireland,Belfast,"5,000","12,500",0,46180,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT2 8GD
Northern Ireland,"Newry, Mourne and Down","18,000","125,000",6,10390,Manufacturing,BT34 4RY
Northern Ireland,Mid Ulster,"21,600","54,000",0,11050,Manufacturing,BT70 3LH
Northern Ireland,"Armagh City, Banbridge and Craigavon","2,500","5,000",0,42990,Construction,BT62 1PT
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","18,000",2,96090,Other Service Activities,
Northern Ireland,Causeway Coast and Glens,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"15,000","141,000",5,16290,Manufacturing,BT46 5LQ
Northern Ireland,"Newry, Mourne and Down","1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"4,950","9,900",0,85590,Education,BT48 7TG
Northern Ireland,"Newry, Mourne and Down","1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"18,069","51,625",0,31090,Manufacturing,BT12 6HU
Northern Ireland,Mid and East Antrim,"2,300","4,600",0,10200,Manufacturing,BT44 0BD
Northern Ireland,Derry City and Strabane,"5,960","18,000",0,47510,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,
United States,"Newry, Mourne and Down","49,762","100,525",2,30300,Manufacturing,BT34 4NG
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Antrim and Newtownabbey,"7,000","32,000",1,93290,"Arts, Entertainment And Recreation",BT1 2NB
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Antrim and Newtownabbey,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"11,000","47,800",1,20420,Manufacturing,BT70 1RX
Northern Ireland,"Armagh City, Banbridge and Craigavon","28,000","156,600",4,10130,Manufacturing,BT60 3PR
Great Britain,Belfast,"693,000","7,095,586",165,82200,Administrative And Support Service Activities,BT1 3BT
Great Britain,Derry City and Strabane,"13,063","28,345",0,82200,Administrative And Support Service Activities,BT48 8SE
Northern Ireland,Derry City and Strabane,"3,000","6,000",0,32990,Manufacturing,BT47 6BD
Northern Ireland,Mid Ulster,"7,350","15,000",0,27900,Manufacturing,BT80 9AR
Northern Ireland,Derry City and Strabane,551,"1,125",0,55100,Accommodation And Food Service Activities,BT82 9EA
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"1,000","27,000",3,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"9,776","28,080",0,96090,Other Service Activities,BT92 0AD
Northern Ireland,Mid Ulster,"7,000","36,000",1,70229,"Professional, Scientific And Technical Activities",BT69 6AA
Northern Ireland,Belfast,"1,440","2,880",0,71200,"Professional, Scientific And Technical Activities",BT9 5AH
Northern Ireland,"Armagh City, Banbridge and Craigavon","5,825","11,650",0,13923,Manufacturing,BT32 4QU
Northern Ireland,Fermanagh and Omagh,"4,800","9,600",0,47510,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT78 1PR
Northern Ireland,"Newry, Mourne and Down","47,196","117,990",2,32500,Manufacturing,BT30 6LL
Northern Ireland,Belfast,"40,446","101,115",2,82301,Administrative And Support Service Activities,BT3 9LE
Northern Ireland,Causeway Coast and Glens,"10,000","176,000",1,25990,Manufacturing,BT51 5JZ
Northern Ireland,"Newry, Mourne and Down","1,000","9,000",1,96090,Other Service Activities,BT35 8UJ
Northern Ireland,Belfast,"20,000","50,000",0,46690,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT2 8LA
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"197,338","768,219",0,55100,Accommodation And Food Service Activities,BT4 3LP
Northern Ireland,Antrim and Newtownabbey,"14,192","50,346",0,29201,Manufacturing,BT36 4TP
Northern Ireland,Derry City and Strabane,"10,290","22,665",0,29100,Manufacturing,BT82 9QU
Northern Ireland,Antrim and Newtownabbey,"17,614","38,093",0,71129,"Professional, Scientific And Technical Activities",BT36 4TY
Northern Ireland,Antrim and Newtownabbey,"4,000","10,000",0,32990,Manufacturing,
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"1,500","10,000",1,47240,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"30,000","554,000",11,10130,Manufacturing,BT82 9EA
Northern Ireland,Belfast,"30,000","292,000",10,38320,"Water Supply; Sewerage, Waste Management And Remediation Activities",BT6 8ED
Northern Ireland,Derry City and Strabane,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"10,445","34,969",0,64999,Financial And Insurance Activities,BT3 9BW
Northern Ireland,Belfast,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Lisburn and Castlereagh,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Ards and North Down,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Ards and North Down,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Armagh City, Banbridge and Craigavon","2,245","5,210",0,78109,Administrative And Support Service Activities,BT62 3EU
Northern Ireland,Causeway Coast and Glens,"1,500","10,000",1,96090,Other Service Activities,
Great Britain,X Outside NI,"40,725","54,300",0,32500,Manufacturing,W1U 6HP
Northern Ireland,Mid and East Antrim,"30,000","142,000",3,71129,"Professional, Scientific And Technical Activities",BT42 4DN
Northern Ireland,Belfast,"5,000","12,140",0,10821,Manufacturing,BT9 6LG
Northern Ireland,Belfast,"5,000","12,030",0,10821,Manufacturing,BT9 6LG
Northern Ireland,Belfast,"5,000","12,100",0,10821,Manufacturing,BT9 6LG
Northern Ireland,Derry City and Strabane,"5,000","15,350",0,85590,Education,BT48 7TG
Northern Ireland,Lisburn and Castlereagh,"1,800","3,600",0,77210,Administrative And Support Service Activities,BT26 6LN
Northern Ireland,Lisburn and Castlereagh,900,"1,800",0,77210,Administrative And Support Service Activities,BT26 6LN
Northern Ireland,Lisburn and Castlereagh,"5,000","12,000",0,77210,Administrative And Support Service Activities,BT26 6LN
Northern Ireland,Lisburn and Castlereagh,"1,025","2,050",0,20200,Manufacturing,BT16 1QT
Northern Ireland,Fermanagh and Omagh,"48,654","108,120",0,25990,Manufacturing,BT79 7UA
Northern Ireland,Mid Ulster,"39,338","98,344",0,28220,Manufacturing,BT70 1LA
Northern Ireland,Lisburn and Castlereagh,"30,800","93,000",2,42990,Construction,BT28 2NE
Northern Ireland,Causeway Coast and Glens,"21,000","132,000",3,63990,Information And Communication,BT55 7AE
Northern Ireland,Derry City and Strabane,"28,000","128,000",4,62020,Information And Communication,
Northern Ireland,Mid Ulster,"1,150","2,300",0,71129,"Professional, Scientific And Technical Activities",BT46 5SA
Northern Ireland,Lisburn and Castlereagh,"17,000","192,500",3,42990,Construction,BT26 6AE
Northern Ireland,Lisburn and Castlereagh,"18,000","45,000",0,81222,Administrative And Support Service Activities,BT17 9HY
Northern Ireland,Ards and North Down,"1,533","5,140",0,71110,"Professional, Scientific And Technical Activities",BT20 5RG
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","18,000",2,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,BT9 6AG
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Lisburn and Castlereagh,"12,720","31,800",0,22220,Manufacturing,BT67 0PB
Northern Ireland,Mid Ulster,"19,013","53,125",0,28220,Manufacturing,BT71 6LA
Northern Ireland,Mid Ulster,"8,015","16,030",0,62020,Information And Communication,BT51 5QL
Northern Ireland,Belfast,"30,000","189,000",6,64190,Financial And Insurance Activities,BT3 9DE
Northern Ireland,"Newry, Mourne and Down","3,200","6,400",0,71129,"Professional, Scientific And Technical Activities",BT35 6JQ
Northern Ireland,Belfast,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Causeway Coast and Glens,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Lisburn and Castlereagh,"275,000","845,000",0,22220,Manufacturing,BT67 0PB
Northern Ireland,Antrim and Newtownabbey,"35,000","182,000",5,25620,Manufacturing,BT41 2PT
Northern Ireland,Antrim and Newtownabbey,"35,805","286,800",2,22290,Manufacturing,BT41 2TX
Northern Ireland,Antrim and Newtownabbey,"2,480","5,666",0,47910,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT29 4DT
Northern Ireland,Causeway Coast and Glens,"5,006","12,515",0,47990,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT49 0PU
Northern Ireland,Causeway Coast and Glens,"4,657","13,696",0,28920,Manufacturing,BT51 5NT
Northern Ireland,Lisburn and Castlereagh,"75,334","239,499",0,28920,Manufacturing,BT28 2EX
Northern Ireland,Causeway Coast and Glens,"7,000","33,000",1,47990,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT49 0PU
Northern Ireland,Fermanagh and Omagh,"170,937","379,860",0,30110,Manufacturing,BT94 2FP
Northern Ireland,Belfast,"38,380","95,950",2,62012,Information And Communication,BT12 6TA
Northern Ireland,Mid Ulster,"92,890","273,207",0,28920,Manufacturing,BT80 8UH
Northern Ireland,"Newry, Mourne and Down","96,677","354,025",0,28140,Manufacturing,BT33 0JZ
Northern Ireland,Mid Ulster,"7,000","37,000",1,32990,Manufacturing,BT80 8TN
Northern Ireland,"Newry, Mourne and Down","61,401","172,998",0,71129,"Professional, Scientific And Technical Activities",BT28 2SU
Northern Ireland,"Armagh City, Banbridge and Craigavon","2,935","5,870",0,10890,Manufacturing,BT66 8BY
Northern Ireland,"Armagh City, Banbridge and Craigavon","51,800","108,039",0,28220,Manufacturing,BT67 9JD
Northern Ireland,"Newry, Mourne and Down","24,000","60,000",1,81229,Administrative And Support Service Activities,BT35 8QJ
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"99,000","1,185,000",11,72100,"Professional, Scientific And Technical Activities",
United States,Belfast,"50,000","108,970",0,25400,Manufacturing,
Northern Ireland,Causeway Coast and Glens,"10,000","20,950",0,28920,Manufacturing,
Northern Ireland,Mid Ulster,"15,000","94,400",3,32990,Manufacturing,BT45 8BZ
Northern Ireland,Mid Ulster,"7,240","22,100",0,32990,Manufacturing,BT45 8BZ
Northern Ireland,Antrim and Newtownabbey,"3,375","6,750",0,28990,Manufacturing,BT41 1AB
Northern Ireland,Mid and East Antrim,"10,000","67,080",2,71121,"Professional, Scientific And Technical Activities",BT39 9QW
Northern Ireland,Mid and East Antrim,"42,000","227,440",6,25110,Manufacturing,BT42 3DB
Northern Ireland,Lisburn and Castlereagh,"7,901","17,961",0,20411,Manufacturing,BT23 6ND
Northern Ireland,Ards and North Down,"8,300","16,600",0,46420,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT19 7QY
Northern Ireland,Causeway Coast and Glens,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"6,155","13,085",0,30110,Manufacturing,BT94 2FP
Northern Ireland,Belfast,"49,166","102,430",0,62010,Information And Communication,BT35 6QH
Northern Ireland,Causeway Coast and Glens,"42,000","207,600",6,25910,Manufacturing,BT51 5PN
Northern Ireland,"Newry, Mourne and Down","5,000","13,600",0,62010,Information And Communication,
Northern Ireland,Belfast,"28,406","96,546",1,62010,Information And Communication,BT7 2JB
Northern Ireland,Mid Ulster,"8,794","17,588",0,28920,Manufacturing,BT71 4QG
Northern Ireland,Antrim and Newtownabbey,"2,750","5,500",0,63990,Information And Communication,BT41 4NN
Northern Ireland,Fermanagh and Omagh,"2,250","4,500",0,43210,Construction,BT78 3LJ
Northern Ireland,Ards and North Down,820,"1,640",0,82990,Administrative And Support Service Activities,BT21 0DR
Northern Ireland,Mid Ulster,"39,000","223,000",5,25110,Manufacturing,BT80 9NH
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,650","3,300",0,29320,Manufacturing,BT62 3RL
Northern Ireland,Belfast,"42,000","206,000",6,79110,Administrative And Support Service Activities,BT12 5DR
Northern Ireland,Mid Ulster,"13,000","93,800",2,74909,"Professional, Scientific And Technical Activities",BT80 9LU
Northern Ireland,Mid Ulster,"77,000","522,000",11,61200,Information And Communication,BT71 4NB
