Business Name (Published),Financial Year Offer Made,Total Assistance Offered by Invest NI (£),Total Investment (Includes Invest NI Assistance) £,Conditions of Offer,Jobs to be Created (Assisted),Country of Ownership,Ownership when the offer was made,New / Existing,Constituency in which business was located when offer was made,Council in which business was located when offer was made,SIC Code 5 Digit,SIC Sector,Current Address Line 1,Current Address Line 2, Current Address Line 3,Current Address Line 4,Current Address Line 5,Current Postcode
M & M Contractors,2017-18,"23,297","63,929",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,43999,Construction,Hillview Road, , ,Belfast,County Antrim,BT14 7BT
Hempful Ltd,2017-18,"1,128","2,255",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,10519,Manufacturing,3,Oakdale House,Edenmore Court,Derry,County Londonderry,BT48 7NG
Tascomi,2017-18,"15,000","32,500",Developing Skills,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,62012,Information And Communication,3 Ballynahinch Street, , ,Hillsborough,County Down,BT26 6AW
Bloc Blinds,2017-18,"15,000","35,402",Developing Skills,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,22230,Manufacturing,26B Station Road, , ,Magherafelt,County Londonderry,BT45 5DN
McAleer & McGarrity Ltd,2017-18,"48,500","610,000",Creating Jobs / Capital Investment / Business Development,7,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,25610,Manufacturing,79 Tulnacross Road, , ,Cookstown,County Tyrone,BT80 9NP
James Mackle Limited,2017-18,"100,000","500,000",Other,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",10390,Manufacturing,99 Portadown Road,Charlemont,Moy,Dungannon,County Armagh,BT71 6SW
Ferguson Environmental Services Limited,2017-18,"2,000","4,000",Developing Skills,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",71122,"Professional, Scientific And Technical Activities",Unit 74 CIDO,Carn Drive, ,Craigavon,County Armagh,BT63 5WH
Ciga Healthcare Limited,2017-18,"18,018","42,807",Investing in R&D                    ,0,Northern Ireland,Local,Existing,NORTH ANTRIM,Mid and East Antrim,21100,Manufacturing,Kildowney House,Pennybridge Industrial Estate, ,Ballymena,County Antrim,BT42 3HB
Advance Regulatory Consulting Limited,2017-18,"88,000","742,500",Creating Jobs / Capital Investment / Business Development,11,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,74909,"Professional, Scientific And Technical Activities",63 Ballygrooby Road,Moneymore, ,Magherafelt,County Londonderry,BT45 7XD
Larchfield Estate,2017-18,"9,769","32,565",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,56210,Accommodation And Food Service Activities,375 Upper Ballynahinch Road, , ,Lisburn,County Down,BT27 6XL
Suki Teahouse Limited,2017-18,"1,000","2,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,10831,Manufacturing,Unit 6A Twin Spires Centre,155 Northumberland Street, ,Belfast,County Antrim,BT13 2JF
