Business Name (Published),Financial Year Offer Made,Total Assistance Offered by Invest NI (£),Total Investment (Includes Invest NI Assistance) £,Conditions of Offer,Jobs to be Created (Assisted),Country of Ownership,Ownership when the offer was made,New / Existing,Constituency in which business was located when offer was made,Council in which business was located when offer was made,SIC Code 5 Digit,SIC Sector,Current Address Line 1,Current Address Line 2, Current Address Line 3,Current Address Line 4,Current Address Line 5,Current Postcode
Name cannot be released,2014-15,"2,500","5,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST ANTRIM,Mid and East Antrim,41201,Construction,,,,,,
Ezystak,2015-16,"90,000","601,100",Creating Jobs / Capital Investment / Business Development,12,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,71121,"Professional, Scientific And Technical Activities",200 Annagher Road, , ,Coalisland,County Tyrone,BT71 5DA
Unicorn Hygienics Limited,2014-15,"7,350","15,000",Developing Skills,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,25990,Manufacturing,5 Ferguson Drive,Knockmore Hill Industrial Park, ,Lisburn,County Antrim,BT28 2EX
Mackle Snacks,2014-15,"9,525","19,050",Developing Skills,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",10612,Manufacturing,18 Armagh Road, ,Moy,Dungannon,County Armagh,BT71 7HZ
Elmgrove Foods,2014-15,"2,125","4,250",Developing Skills,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,10710,Manufacturing,"Suite 1, Davidson House",Glenavy Road Business Park, ,Moira,County Antrim,BT67 0LT
Moore (Unidrill) Limited,2014-15,"41,371","91,935",Investing in R&D                    ,0,Northern Ireland,Local,Existing,NORTH ANTRIM,Causeway Coast and Glens,28302,Manufacturing,33 Kirk Road, , ,Ballymoney,County Antrim,BT53 6PP
Terex,2015-16,"33,638","168,190",Investing in R&D                    ,0,United States of America,External,Existing,MID ULSTER,Mid Ulster,28920,Manufacturing,200 Coalisland Road, , ,Dungannon,County Tyrone,BT71 4DR
Team Industries Limited,2014-15,"4,938","12,345",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,33190,Manufacturing,Kilbegs Business Park,Kilbegs Road, ,Antrim,County Antrim,BT41 4NN
Treze Limited,2015-16,"37,784","145,030",Investing in R&D                    ,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",62010,Information And Communication,Carnbane Business Centre,Carnbane Business Park,,Newry,County Down,BT35 6QH
Advanced Cash Control Systems Limited,2014-15,"42,427","121,220",Investing in R&D                    ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,62012,Information And Communication,30 A Forgetown Road,Maghera, ,Derry,County Londonderry,BT46 5LN
The Food Pod Ltd,2014-15,630,"1,260",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,56290,Accommodation And Food Service Activities,Unit C13 The Business Centre,80-82 Rainey Street, ,Magherafelt,County Londonderry,BT45 5AJ
Trillick Landrover Centre,2014-15,"7,600","20,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,WEST TYRONE,Fermanagh and Omagh,45320,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,53 Effernan Road, , ,Trillick,County Tyrone,BT78 3SG
Cornmarket Insurance Services Limited,2015-16,"18,544","41,865",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,66220,Financial And Insurance Activities,4-6 Boucher Plaza, , ,Belfast,County Antrim,BT12 6HR
Name cannot be released,2014-15,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,EAST LONDONDERRY,Causeway Coast and Glens,96090,Other Service Activities,,,,,,
Blessingbourne Apartments,2014-15,"1,624","4,582",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,55209,Accommodation And Food Service Activities,Blessingbourne Country Estate,Murley Road, ,Fivemiletown,County Tyrone,BT75 0QS
Name cannot be released,2014-15,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST NORTH,Antrim and Newtownabbey,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST EAST,Belfast,96090,Other Service Activities,,,,,,
Autofloodguard,2014-15,"1,550","3,100",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,32990,Manufacturing,44 Glenarny Road, , ,Cookstown,County Tyrone,BT80 9DZ
Whyte and Wood,2014-15,"2,337","6,112",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NORTH ANTRIM,Mid and East Antrim,32990,Manufacturing,82 Dreen Road,Cullybackey, ,Ballymena,County Antrim,BT42 1EE
Pet Connection Ltd,2014-15,"16,957","42,392",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",47760,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,26 Ashtree Enterprise Park,Rathfriland Road, ,Newry,County Down,BT34 1LD
Nugent Engineering,2014-15,"15,000","48,000",Developing Skills,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,28302,Manufacturing,15 Aughnagar Road,Galbally, ,Dungannon,County Tyrone,BT70 2PN
Andrew Ingredients,2015-16,"27,635","69,088",Other,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,10890,Manufacturing,27 Ferguson Drive,Knockmore Hill Industrial Estate, ,Lisburn,County Antrim,BT28 2EX
Go walk Talk,2014-15,"18,300","166,000",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,62012,Information And Communication,The Innovation Centre,Northern Ireland Science Park, ,Derry,County Londonderry,BT48 7TG
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST SOUTH,Belfast,96090,Other Service Activities,,,,,,
Selfridge Engineering,2014-15,"2,500","5,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,25110,Manufacturing,94 Mullagh Road, , ,Maghera,County Londonderry,BT46 5DW
Name cannot be released,2015-16,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST SOUTH,Belfast,96090,Other Service Activities,,,,,,
Continu Ltd,2014-15,"9,271","18,542",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,43210,Construction,9 Harbour Court,Heron Road, ,Belfast,County Down,BT3 9HB
Concrete Batching Systems Limited,2014-15,"46,334","130,836",Investing in R&D                    ,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",71121,"Professional, Scientific And Technical Activities",140 Markethill Road, , ,Armagh,County Armagh,BT60 1LF
Payescape,2015-16,"38,073","140,599",Developing Skills,0,United States of America,External,Existing,NORTH ANTRIM,Causeway Coast and Glens,82110,Administrative And Support Service Activities,Unit 8 Phase 2,2 Riada Avenue, ,Ballymoney,County Antrim,BT53 7LH
WJB Electrical & Catering Limited,2014-15,"1,500","4,752",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,95290,Other Service Activities,121 Ballystockart Road, , ,Comber,County Down,BT23 5PP
Perceptive Insight Market Research Ltd,2014-15,"18,510","64,100",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,73200,"Professional, Scientific And Technical Activities",109 Bloomfield Avenue, , ,Belfast,County Down,BT5 5AB
GCD Technologies Ltd,2015-16,"33,777","70,368",Investing in R&D                    ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",62020,Information And Communication,259 Lough Road, , ,Lurgan,County Armagh,BT66 6NQ
Steel Structures NI,2014-15,"2,500","5,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,25110,Manufacturing,24 Barbour Gardens,Dunmurry, ,Belfast,County Antrim,BT17 9AB
Learning Pool Limited,2015-16,"78,493","224,266",Developing Skills,0,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,62012,Information And Communication,100 Patrick Street, , ,Derry,County Londonderry,BT48 7EL
Wurkhouse Limited,2014-15,"24,000","230,000",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,62010,Information And Communication,Suite 1.7 The Innovation Centre,NI Science Park,Bay Road,Derry,County Londonderry,BT48 7TG
Moran's Retail Ltd,2015-16,"16,000","148,400",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,56210,Accommodation And Food Service Activities,138B Strand Road, , ,Derry,County Londonderry,BT48 7PB
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Learning To Grow,2014-15,"2,250","4,500",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST ANTRIM,Mid and East Antrim,11070,Manufacturing,146 Shore Road,Magheramorne, ,Larne,County Antrim,BT40 3HY
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,EAST LONDONDERRY,Causeway Coast and Glens,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,NORTH ANTRIM,Mid and East Antrim,96090,Other Service Activities,,,,,,
Name cannot be released,2015-16,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST SOUTH,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST NORTH,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST EAST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST EAST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2015-16,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST SOUTH,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2015-16,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
JF McKenna Limited,2014-15,"1,050","2,100",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",22290,Manufacturing,66 Cathedral Road, , ,Armagh,County Armagh,BT61 8AE
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST NORTH,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2015-16,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST NORTH,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST NORTH,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST SOUTH,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","18,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Lock-A-Block,2014-15,"1,350","2,700",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",71129,"Professional, Scientific And Technical Activities",Ferngrove Park,Aghagallon, ,Craigavon,County Antrim,BT67 0HD
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Name cannot be released,2015-16,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Name cannot be released,2015-16,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Rooney Fish,2014-15,"43,950","219,000",Other,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",10200,Manufacturing,The Harbour, , ,Kilkeel,County Down,BT34 4AX
Name cannot be released,2015-16,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Name cannot be released,2015-16,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Acorn IT Solutions Limited,2014-15,"10,000","21,945",Developing Skills,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,62020,Information And Communication,59 - 61 Maghera Street,Kilrea, ,Coleraine,County Londonderry,BT51 5QL
Name cannot be released,2015-16,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
OBBI Solutions Ltd,2015-16,"44,994","99,986",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62010,Information And Communication,26 Wellington Park, , ,Belfast,County Antrim,BT9 6DL
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Rubber & Plastic Products (NI) Ltd,2014-15,"6,125","12,500",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,22190,Manufacturing,30-38 Duncrue Place,Duncrue Industrial Estate, ,Belfast,County Antrim,BT3 9BU
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Daiak Ltd,2014-15,"20,817","53,100",Investing in R&D                    ,0,Northern Ireland,Local,Existing,WEST TYRONE,Fermanagh and Omagh,62012,Information And Communication,18 Knocknamoe Park Road, , ,Omagh,County Tyrone,BT79 7LD
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Name cannot be released,2015-16,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,UPPER BANN,"Armagh City, Banbridge and Craigavon",96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,WEST TYRONE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
AGR Automation,2014-15,"12,000","65,500",Other,0,Great Britain,External,Existing,NORTH ANTRIM,Mid and East Antrim,71129,"Professional, Scientific And Technical Activities",Woodside Road Industrial Estate, , ,Ballymena,County Antrim,BT42 4QJ
Clear AV Ltd,2014-15,"40,380","134,600",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,46439,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,1 Crescent Business Park, , ,Lisburn,County Antrim,BT28 2GN
Learn TPM NI Ltd,2014-15,"22,400","44,800",Investing in R&D                    ,0,Great Britain,External,Existing,BELFAST SOUTH,Belfast,62010,Information And Communication,Forsyth House,Cromac Square, ,Belfast,County Antrim,BT2 8LA
Taggled Ltd,2013-14,"150,000","300,000",Loan Fund,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,62010,Information And Communication,Unit 5b The Innovation Centre,Northern Ireland Science Park, ,Belfast,County Down,BT3 9DT
itradebook.com,2013-14,"50,000","100,000",Loan Fund,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,82990,Administrative And Support Service Activities,Ceased Trading,,,,,
Uni Baggage Ltd,2014-15,"3,200","8,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,50100,Transportation And Storage,85 Sydenham Road, , ,Belfast,County Down,BT3 9DT
Name cannot be released,2014-15,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,LAGAN VALLEY,Lisburn and Castlereagh,96090,Other Service Activities,,,,,,
Helmetor Ltd,2014-15,"1,160","2,320",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,22290,Manufacturing,12 Sessaigh Road,Sessaigh East,Lisbellaw,Enniskillen,County Fermanagh,BT94 5PG
Clarus FT,2014-15,"75,000","868,560",Creating Jobs / Capital Investment / Business Development,15,Great Britain,External,New,BELFAST SOUTH,Belfast,66190,Financial And Insurance Activities,Suite 204,Russell Business Centre,40-42 Lisburn Road,Belfast,County Antrim,BT9 6AA
Countryside Services Limited,2014-15,"1,500","3,600",Developing Skills,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,1629,"Agriculture, Forestry And Fishing",97 Moy Road, , ,Dungannon,County Tyrone,BT71 7DX
Silform Technologies Ltd,2013-14,"334,844","1,499,844",Loan Fund,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,19201,Manufacturing,Unit 4T Karl Business Park,92 Old Ballyrobin Road, ,Antrim,County Antrim,BT41 4TJ
Jyrobike,2013-14,"187,500","500,000",Loan Fund,0,Great Britain,External,Existing,NORTH DOWN,Ards and North Down,30920,Manufacturing,Ceased Trading,,,,,
PathXL Limited,2013-14,"250,000","681,099",Loan Fund,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,21200,Manufacturing,Concourse 3,"Unit 5, Level 2",Queen’s Road,Belfast,County Down,BT3 9DT
Phlok Ltd,2013-14,"51,862","179,521",Loan Fund,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Newry, Mourne and Down",62010,Information And Communication,Ceased Trading,,,,,
Datactics Limited,2014-15,"100,000","208,837",Loan Fund,0,Great Britain,External,Existing,BELFAST SOUTH,Belfast,62012,Information And Communication,"Unit C1, Suite B",2nd Floor,Lanyon Quay,Belfast,County Antrim,BT1 3LG
Karro Food Group,2015-16,"201,019","729,535",Developing Skills,0,Great Britain,External,Existing,MID ULSTER,Mid Ulster,10130,Manufacturing,70 Molesworth Road, , ,Cookstown,County Tyrone,BT80 8PJ
Cartoncare Limited,2014-15,"250,000","1,025,000",Loan Fund,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Newry, Mourne and Down",17219,Manufacturing,Carbane Industrial Estate, , ,Newry,County Armagh,BT35 6QJ
Agribarn Ltd,2014-15,"115,009","230,018",Loan Fund,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",47510,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Ceased Trading,,,,,
Cirdan Imaging Ltd,2014-15,"47,920","119,800",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,New,LAGAN VALLEY,Lisburn and Castlereagh,32500,Manufacturing,8 Enterprise Crescent, , ,Lisburn,County Antrim,BT28 2BP
SiSaf,2014-15,"149,850","325,000",Loan Fund,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,72100,"Professional, Scientific And Technical Activities",Unit 7a The Innovation Centre,Northern Ireland Science Park,Queen's Road,Belfast,County Down,BT3 9DT
Sensurity Limited,2014-15,"300,000","600,000",Loan Fund,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,62010,Information And Communication,5E Weavers Court, , ,Belfast,County Antrim,BT12 5DD
Adoreboard Limited,2014-15,"115,010","379,350",Loan Fund,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62020,Information And Communication,Adoreboard Campus,63 University Road, ,Belfast,County Antrim,BT7 1NF
Mobilereport,2014-15,"250,014","599,060",Loan Fund,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Lisburn and Castlereagh,82990,Administrative And Support Service Activities,"No 3 ,Suite A",10 Heron Road,,Belfast,County Down,BT3 9LE
NC Engineering,2016-17,"185,000","2,080,160",Creating Jobs / Capital Investment / Business Development,30,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",28302,Manufacturing,2 Killyrudden Road,Hamiltonsbawn,Richhill,Armagh,County Armagh,BT61 9SF
Quizfortune Limited,2014-15,"200,000","530,000",Loan Fund,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,63990,Information And Communication,The Innovation Centre,Northern Ireland Science Park,"Queen's Road, Queen's Island",Belfast,County Down,BT3 9DT
Name cannot be released,2014-15,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,WEST TYRONE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Savage Pro Nutrition,2014-15,"2,700","5,400",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,10890,Manufacturing,Ceased Trading,,,,,
Kitchen Bakes,2016-17,"6,507","21,690",Other,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",10710,Manufacturing,Units 1-5 Mahon Industrial Estate,Portadown, ,Craigavon,County Armagh,BT62 3EH
Sperrin Bakery,2015-16,"4,480","11,200",Other,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,10710,Manufacturing,Unit F6 & F7 7 Tobermore Road,Draperstown, ,Magherafelt,County Londonderry,BT45 7AG
Irwin's Bakery,2015-16,"45,630","152,100",Other,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",10710,Manufacturing,The Food Park,Carn Industrial Estate, ,Portadown,County Armagh,BT63 5WE
Name cannot be released,2015-16,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,LAGAN VALLEY,Lisburn and Castlereagh,96090,Other Service Activities,,,,,,
Name cannot be released,2015-16,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,MID ULSTER,Mid Ulster,96090,Other Service Activities,,,,,,
Name cannot be released,2014-15,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,WEST TYRONE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Remote Student,2014-15,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,New,MID ULSTER,Mid Ulster,96090,Other Service Activities,9 Old Coagh Mill, , ,Cookstown,County Tyrone,BT80 0NE
Fusion Antibodies Limited,2014-15,"65,000","160,000",Loan Fund,0,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,72190,"Professional, Scientific And Technical Activities",Unit 4 Springbank Industrial Estate,Pembrook Loop Road,Dunmurry,Belfast,County Antrim,BT17 0QL
Eishtec,2015-16,"1,040,000","11,118,260",Creating Jobs / Capital Investment / Business Development,320,Irish Republic,External,New,UPPER BANN,"Armagh City, Banbridge and Craigavon",82200,Administrative And Support Service Activities,10D Silverwood Business Park,Lurgan, ,Craigavon,County Armagh,BT66 6SY
Shnuggle,2014-15,"37,500","75,000",Loan Fund,0,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,32990,Manufacturing,Sketrick House,Jubilee Road, ,Newtownards,County Down,BT23 4YH
Sensurity Limited,2014-15,"150,000","300,000",Loan Fund,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,62010,Information And Communication,5E Weavers Court, , ,Belfast,County Antrim,BT12 5DD
Autism Biotech Limited,2014-15,"100,000","200,000",Loan Fund,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,72190,"Professional, Scientific And Technical Activities",Unit 15a the Innovation Centre,Northern Ireland Science Park,Queens Island,Belfast,County Down,BT3 9DT
itradebook.com,2014-15,"50,000","100,000",Loan Fund,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,82990,Administrative And Support Service Activities,Ceased Trading,,,,,
Instil Software Ltd,2015-16,"42,000","145,500",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62010,Information And Communication,27-37 Adelaide Street, , ,Belfast,County Antrim,BT2 8FE
